NAME,the_geom,TEL,URL,ADDRESS1,CITY,ZIP,GRADING
Parker's Box,POINT (-73.9604447082016 40.714309158269266),(718) 388-2882,http://www.parkersbox.com/exhibitions/current/08/EDITH_PressRelease.pdf,193 Grand St,Brooklyn,11211,8.2
Pierogi 2000,POINT (-73.95578160004416 40.718750345970065),(718) 599-2144,http://www.pierogi2000.com/,177 N 9th St,Brooklyn,11211,9.5
Under Minerva,POINT (-73.99264059463559 40.66242444886783),(718) 788-0170,http://blog.underminerva.com/,656 5th Ave,Brooklyn,11215,9.7
